"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
-0.706656, 0.563238, 0.160883, 2, 4, 1, 1, 1, 1
-0.585208, 0.563414, 0.161191, 3, 4, 1, 1, 1, 1
-0.46404, 0.563289, 0.160993, 4, 4, 1, 1, 1, 1
-0.341732, 0.562367, 0.15864, 5, 4, 1, 1, 1, 1
-0.22, 0.563333, 0.16, 6, 4, 1, 0, 0, 0
-0.95, 0.716667, 0.16, 0, 5, 1, 0, 0, 0
-0.828239, 0.716616, 0.160457, 1, 5, 1, 1, 1, 1
-0.706642, 0.716635, 0.160552, 2, 5, 1, 1, 1, 1
-0.585115, 0.717152, 0.160928, 3, 5, 1, 1, 1, 1
-0.463665, 0.7168, 0.160165, 4, 5, 1, 1, 1, 1
-0.341512, 0.715486, 0.157877, 5, 5, 1, 1, 1, 1
-0.22, 0.716667, 0.16, 6, 5, 1, 0, 0, 0
-0.95, 0.87, 0.16, 0, 6, 1, 0, 0, 0
-0.828333, 0.87, 0.16, 1, 6, 1, 0, 0, 0
-0.706667, 0.87, 0.16, 2, 6, 1, 0, 0, 0
-0.585, 0.87, 0.16, 3, 6, 1, 0, 0, 0
-0.463333, 0.87, 0.16, 4, 6, 1, 0, 0, 0
-0.341667, 0.87, 0.16, 5, 6, 1, 0, 0, 0
-0.22, 0.87, 0.16, 6, 6, 1, 0, 0, 0
-0.95, -0.05, 0.29, 0, 0, 2, 0, 0, 0
-0.828333, -0.05, 0.29, 1, 0, 2, 0, 0, 0
-0.706667, -0.05, 0.29, 2, 0, 2, 0, 0, 0
-0.585, -0.05, 0.29, 3, 0, 2, 0, 0, 0
-0.463333, -0.05, 0.29, 4, 0, 2, 0, 0, 0
-0.341667, -0.05, 0.29, 5, 0, 2, 0, 0, 0
-0.22, -0.05, 0.29, 6, 0, 2, 0, 0, 0
-0.95, 0.103333, 0.29, 0, 1, 2, 0, 0, 0
-0.828295, 0.103362, 0.290192, 1, 1, 2, 1, 1, 1
-0.70666, 0.103412, 0.290125, 2, 1, 2, 1, 1, 1
-0.585138, 0.103532, 0.290126, 3, 1, 2, 1, 1, 1
-0.463633, 0.104083, 0.289564, 4, 1, 2, 1, 1, 1
-0.34179, 0.104059, 0.289244, 5, 1, 2, 1, 1, 1
-0.22, 0.103333, 0.29, 6, 1, 2, 0, 0, 0
-0.95, 0.256667, 0.29, 0, 2, 2, 0, 0, 0
-0.828286, 0.256837, 0.29023, 1, 2, 2, 1, 1, 1
-0.706706, 0.256971, 0.289885, 2, 2, 2, 1, 1, 1
-0.585273, 0.256826, 0.290079, 3, 2, 2, 1, 1, 1
-0.464518, 0.258127, 0.289494, 4, 2, 2, 1, 1, 1
-0.342623, 0.258747, 0.287979, 5, 2, 2, 1, 1, 1
-0.22, 0.256667, 0.29, 6, 2, 2, 0, 0, 0
-0.95, 0.41, 0.29, 0, 3, 2, 0, 0, 0
-0.828353, 0.41, 0.29036, 1, 3, 2, 1, 1, 1
-0.706707, 0.410005, 0.290062, 2, 3, 2, 1, 1, 1
-0.585174, 0.409917, 0.290287, 3, 3, 2, 1, 1, 1
-0.464433, 0.410398, 0.290289, 4, 3, 2, 1, 1, 1
-0.341594, 0.409657, 0.28796, 5, 3, 2, 1, 1, 1
-0.22, 0.41, 0.29, 6, 3, 2, 0, 0, 0
-0.95, 0.563333, 0.29, 0, 4, 2, 0, 0, 0
-0.828318, 0.563294, 0.290267, 1, 4, 2, 1, 1, 1
-0.706649, 0.563212, 0.290232, 2, 4, 2, 1, 1, 1
-0.585089, 0.563288, 0.290536, 3, 4, 2, 1, 1, 1
-0.463669, 0.563013, 0.290441, 4, 4, 2, 1, 1, 1
-0.340711, 0.561582, 0.287991, 5, 4, 2, 1, 1, 1
-0.22, 0.563333, 0.29, 6, 4, 2, 0, 0, 0
-0.95, 0.716667, 0.29, 0, 5, 2, 0, 0, 0
